id,bloco,secao,label_proposto,conceito,estado,prioridade,profundidade,origens,fontes_apoio,desenvolver
M01.01,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,"Índices, vetores e unidades",T,P1,Definição,"sec:metricas,sec:perfil-dados",,"Definir dia civil t, ano y, unidade u, vetor v, observação i, réplica b; separar E, carga Q, covariáveis Z, densidade e autocorrelação. Fixar dimensões de cada símbolo e convenção de sinal."
M01.02,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,Populações e máscaras de seleção,T,P1,Algoritmo,"sec:fontes,sec:perfil-dados,sec:referencia-congelada","DAX,REF","Definir candidatos, elegíveis, retidos, completos, em suporte e pontuáveis. Publicar ordem dos filtros e denominadores; distinguir dias únicos de células série–dia e interseção entre modelos."
M01.03,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,"Estimando, estimador e quantidade observada",T,P1,Definição,"sec:protocolo-baselines,sec:leitura-integrada",,"Dar o alvo de cada análise, população, comparador e condicionamento; distinguir previsão temporal, normalização, deteção e poupanças verificadas. Um resultado deve indicar a pergunta que mede."
M01.04,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,Agregação horária e calendário civil,T,P1,Equação + algoritmo,sec:fontes,GNE,"Formalizar soma de incrementos, integração de caudal e média ponderada pelo tempo; horas válidas, fuso, dias de 23/25 horas e dias incompletos. A validade física da regra executada permanece por confirmar."
M01.05,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,Alocação mensal em dias e reagregação,T,P1,Equação,"sec:fontes,sec:perfil-dados,sec:cobertura",,Explicitar E_dia=E_mês/n_dias e conservação do total; distinguir resolução de apresentação e de medição. Formalizar média mensal versus total mensal e impedir pseudorreplicação dos dias alocados.
M01.06,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,"Janelas móveis, acumulados e exposição",T,P1,Equação,"sec:metricas,sec:dashboard,sec:referencia-fixa",,"Definir intervalos civis, inclusão do dia atual, mínimo de observações, denominador efetivo e reinício. Uma janela de 30 dias não significa as últimas 30 observações retidas."
M01.07,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,"Faltas, zeros, imputação e seleção pela resposta",T,P1,Definição + algoritmo,"sec:fontes,sec:modelo-dimensional,sec:guidelines","GNE,DAX","Distinguir zero físico, ausente, valor propagado/default e exclusão; LOCF e backfill, fração imputada e informação futura. A máscara altera a população; mecanismo de falta não é identificado só pela série."
M01.08,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,"Precedência de fontes, pesos e conservação",T,P1,Equação,"sec:modelo-dimensional,sec:validacao-dados",,"Representar seleção de canal por função por partes; soma de componentes com pesos 0, 1, −1 ou fracionários; vigência e ausência de dupla contagem. Separar harmonização de reconciliação estatística por balanços."
M01.09,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,Concordância numérica e tolerâncias,C,P1,Equação,"sec:replicacao,sec:validacao-dados","OLS,CFG","Distinguir comparação de dados por máximo de tolerâncias absoluta/relativa e replicação por atol+rtol×módulo da referência. Definir zero, valores com sinal, unidades e igualdade do conjunto de datas; um hash não mede exatidão física."
M01.10,G.1,"Notação, populações e operações sobre dados",sec:mat-notacao-dados,Estatística descritiva e completude,T,P2,Definição,"sec:perfil-dados,sec:corpus-a",,"Média, mediana, quantis, variância, desvio-padrão, IQR, amplitude, proporção disponível e denominador por campo. Definir convenção amostral e quantis quando usados por filtros, bandas ou estratos."
