id,conceito,origens_na_tese,secao_anexo,subsecao_anexo,label_anexo,linha_tex,remissao_latex
M01.01,"Índices, vetores e unidades","sec:metricas,sec:perfil-dados","Notação, populações e operações sobre dados","Índices, unidades e objetos estatísticos",sec:mat-notacao,38,Secção~\ref{sec:mat-notacao}
M01.02,Populações e máscaras de seleção,"sec:fontes,sec:perfil-dados,sec:referencia-congelada","Notação, populações e operações sobre dados",Seleção e denominadores,sec:mat-populacoes,63,Secção~\ref{sec:mat-populacoes}
M01.03,"Estimando, estimador e quantidade observada","sec:protocolo-baselines,sec:leitura-integrada","Notação, populações e operações sobre dados","Índices, unidades e objetos estatísticos",sec:mat-notacao,38,Secção~\ref{sec:mat-notacao}
M01.04,Agregação horária e calendário civil,sec:fontes,"Notação, populações e operações sobre dados",Agregação no calendário civil,sec:mat-agregacao,78,Secção~\ref{sec:mat-agregacao}
M01.05,Alocação mensal em dias e reagregação,"sec:fontes,sec:perfil-dados,sec:cobertura","Notação, populações e operações sobre dados",Agregação no calendário civil,sec:mat-agregacao,78,Secção~\ref{sec:mat-agregacao}
M01.06,"Janelas móveis, acumulados e exposição","sec:metricas,sec:dashboard,sec:referencia-fixa","Notação, populações e operações sobre dados",Agregação no calendário civil,sec:mat-agregacao,78,Secção~\ref{sec:mat-agregacao}
M01.07,"Faltas, zeros, imputação e seleção pela resposta","sec:fontes,sec:modelo-dimensional,sec:guidelines","Notação, populações e operações sobre dados",Seleção e denominadores,sec:mat-populacoes,63,Secção~\ref{sec:mat-populacoes}
M01.08,"Precedência de fontes, pesos e conservação","sec:modelo-dimensional,sec:validacao-dados","Notação, populações e operações sobre dados","Fontes, conservação e concordância numérica",sec:mat-concordancia,100,Secção~\ref{sec:mat-concordancia}
M01.09,Concordância numérica e tolerâncias,"sec:replicacao,sec:validacao-dados","Notação, populações e operações sobre dados","Fontes, conservação e concordância numérica",sec:mat-concordancia,100,Secção~\ref{sec:mat-concordancia}
M01.10,Estatística descritiva e completude,"sec:perfil-dados,sec:corpus-a","Notação, populações e operações sobre dados",Estatística descritiva e completude,sec:mat-descritiva,123,Secção~\ref{sec:mat-descritiva}
M02.01,Balanços materiais e definição de carga,"sec:caso-estudo,sec:metricas,sec:validacao-dados",Grandezas físicas e indicadores energéticos,Fronteiras e balanços,sec:mat-balancos,133,Secção~\ref{sec:mat-balancos}
M02.02,Balanço energético e significado de eficiência,"sec:processos-continuos,sec:caso-estudo",Grandezas físicas e indicadores energéticos,Fronteiras e balanços,sec:mat-balancos,133,Secção~\ref{sec:mat-balancos}
